sentence_id,word_id,word,nFix,FFD,GPT,TRT,fixProp
800,0,It's,2.9445062,0.9619593,0.650808,1.029077,20.718552
800,1,the,9.923687,2.5989356,3.1956766,3.2592554,59.55226
800,2,funniest,23.818155,4.387988,6.142339,8.317308,93.68494
800,3,American,21.653852,4.5735874,5.5620875,7.139084,99.340096
800,4,comedy,17.63327,4.4288507,6.105765,6.1254263,92.38701
800,5,since,10.857122,2.9293385,3.8007696,3.5337963,65.001945
800,6,Graffiti,26.544128,5.4192967,19.383509,11.172432,93.10113
800,7,Bridge.<EOS>,16.042484,3.8847895,19.439285,6.5177445,71.8395
801,0,For,4.8107853,1.7393057,1.4099315,1.8319649,34.060127
801,1,a,8.047671,2.4154158,2.8452518,3.037546,47.857
801,2,time,14.574733,3.0612164,3.4905841,4.939919,67.625725
801,3,in,2.7015603,1.0581158,1.1427208,0.76590025,24.67555
801,4,the,8.5282755,2.316589,2.7833533,2.7907248,52.784992
801,5,summer,16.835213,3.7558482,5.729441,5.6209493,82.87398
801,6,of,5.182478,1.4888943,1.7292773,1.5156388,37.026855
801,7,"1823,",26.083933,6.078249,10.863069,11.611905,99.66454
801,8,his,7.723274,2.2977953,2.8818586,2.5058556,50.79115
801,9,expedition,22.80456,4.8353066,5.9525332,7.882518,99.98243
801,10,was,8.314392,2.4567626,3.0572104,2.3584278,59.585384
801,11,joined,16.686546,3.7690852,5.2889743,5.1368685,88.86165
801,12,by,5.030236,1.322967,1.3488113,1.4773116,33.952087
801,13,Italian,19.155226,4.531128,7.944017,6.7067,91.773056
801,14,explorer,22.575682,5.2459083,9.89286,8.336246,100.59748
801,15,Giacomo,28.317894,5.437224,11.582467,11.622835,94.731575
801,16,Beltrami.<EOS>,27.39622,5.76522,26.770016,11.958,95.026405
802,0,This,1.7720194,0.76567966,0.27859315,0.6634062,15.380999
802,1,method,24.239965,4.1611586,5.507849,8.391954,92.99993
802,2,almost,16.51572,3.933447,4.985399,5.4386377,88.1209
802,3,never,16.45555,4.024168,5.15393,5.224099,91.41358
802,4,fails,21.801287,4.4943275,7.91758,7.708799,92.50416
802,5,"him,",9.74095,2.5685318,3.2935224,3.4535732,57.170948
802,6,and,6.7607102,1.7990887,2.1609416,2.0913117,45.20317
802,7,it,3.1740549,0.8976995,0.77697706,0.780575,24.447054
802,8,works,18.898457,4.135315,6.0373,6.1352277,91.43349
802,9,superbly,27.466581,5.0796833,10.082288,10.005765,100.41276
802,10,here.<EOS>,17.176363,4.776515,24.163786,7.0413804,86.74787
803,0,He,2.0749624,0.79277384,0.31193095,0.8171006,15.843607
803,1,was,10.201517,2.659589,2.1572936,4.3086014,47.18424
803,2,born,13.515661,3.3898654,4.2598767,4.6473465,70.22073
803,3,in,5.6876173,1.8890388,1.6360208,1.9655671,40.32541
803,4,"Overisel,",39.20232,5.371752,13.61782,16.21815,98.225716
803,5,Michigan.<EOS>,21.055817,5.164861,20.661943,8.663523,91.518585
804,0,Despite,16.15528,3.7469082,4.245228,5.6957817,78.550156
804,1,the,6.603909,1.6395731,1.5841368,2.023629,38.810104
804,2,holes,21.981892,4.4754434,6.6356297,7.9132147,92.08233
804,3,in,4.4959292,1.5568439,2.0372357,1.2774808,34.59324
804,4,the,9.72623,2.711429,3.1880476,3.253022,60.543106
804,5,story,12.946234,3.3645794,4.108108,4.1159706,74.873314
804,6,and,6.512556,1.7361039,2.3128822,1.9101467,43.54656
804,7,the,5.098298,1.4411852,1.6133194,1.4661832,37.266323
804,8,somewhat,24.014156,4.6785207,6.5332007,7.9041753,99.98565
804,9,predictable,20.213942,4.735957,6.6742816,6.615126,99.497284
804,10,"plot,",9.937109,3.1684093,4.531383,3.238816,67.53219
804,11,moments,20.703917,4.344856,5.7010713,6.5964193,95.81946
804,12,of,3.8940134,1.2137347,1.7941629,1.1644113,30.442177
804,13,the,6.8846107,1.9655915,2.3887289,2.0273108,48.222015
804,14,movie,12.224994,3.1112804,4.619468,3.6600978,71.992874
804,15,caused,20.039127,4.565772,6.612533,6.352841,99.03958
804,16,me,5.332862,1.4951906,1.3655306,1.4787688,39.66731
804,17,to,2.883182,1.0052143,0.6176986,0.69175047,24.910465
804,18,jump,10.102497,3.2425501,4.3769383,3.5918055,65.37626
804,19,in,4.483705,1.5694892,3.4461143,1.2420254,37.13127
804,20,my,9.1409,2.6829498,9.270999,2.9810724,57.928913
804,21,chair...<EOS>,9.56372,3.192235,9.055278,3.5822723,62.46438
805,0,On,0.5550519,0.32500002,0.0,0.072127104,7.187436
805,1,January,19.077097,3.4396093,4.3901353,6.42387,80.046776
805,2,"28,",9.929743,2.7055953,3.8704338,3.6272602,57.59888
805,3,2005,24.89804,4.535239,7.9903755,9.8037195,86.01014
805,4,it,4.064315,1.3399062,1.7796454,1.1234313,30.126163
805,5,was,16.183138,3.3595686,4.520348,4.99509,81.33126
805,6,revealed,18.963884,4.174594,6.57202,5.959234,94.61845
805,7,that,7.545834,1.9212538,2.3540304,2.0774512,48.649353
805,8,he,7.1120954,1.9804511,2.1359484,1.9832976,46.045876
805,9,accepted,25.984394,4.3738623,6.748308,8.215359,98.973274
805,10,money,15.430766,3.7195845,5.7558846,5.0358253,79.24645
805,11,from,14.2588825,3.4177396,5.60569,4.4307523,77.129974
805,12,the,5.730376,1.4907408,1.8168831,1.4047446,39.49115
805,13,George,14.47788,3.4915283,5.1691556,4.177044,85.37461
805,14,W.,4.361222,1.0215862,1.4049772,1.1089356,28.050676
805,15,Bush,11.118523,2.9091358,3.5217998,3.159456,70.6424
805,16,administration,20.612629,4.334405,7.1438003,6.3557434,98.59164
805,17,to,2.6032863,0.9152901,0.5607523,0.6361249,22.360996
805,18,promote,19.685228,4.2321105,6.4018416,6.4022803,92.381584
805,19,their,12.503266,3.1713803,4.8775086,3.802555,71.952995
805,20,marriage,20.474154,4.5767736,7.083134,6.7108407,97.66068
805,21,initiative,20.676624,4.6114397,9.173707,7.242955,93.16471
805,22,"program,",12.518874,3.3185701,5.481776,4.046342,69.99207
805,23,which,9.3476925,2.7332904,3.4759662,2.7465456,64.66236
805,24,he,6.7166657,1.8510528,2.031421,1.9216605,43.157036
805,25,did,8.828848,2.6654615,2.7623801,2.342609,66.877556
805,26,not,5.737618,1.7956169,1.8278615,1.50684,46.168568
805,27,disclose,15.2611265,3.9259562,5.8346353,4.775985,87.96036
805,28,to,3.943962,1.4542564,3.2532544,1.1688857,32.49373
805,29,his,6.966291,2.443169,4.5585947,2.181616,52.930626
805,30,readers.<EOS>,15.569135,4.084347,19.118912,5.3308964,81.51893
806,0,...,0.0,0.0,0.0,0.0,0.0
806,1,would,16.9777,3.338395,3.0354555,6.003739,74.78434
806,2,be,14.480649,3.0638447,4.223506,5.17636,66.465164
806,3,a,7.6795135,2.0229933,3.037401,2.6022139,44.095467
806,4,total,26.624155,4.3287115,6.8765903,8.994327,94.855644
806,5,loss,13.312797,3.2037148,3.8964918,4.1690335,73.77639
806,6,if,7.331257,1.9799731,3.4888573,2.1495054,45.80672
806,7,not,18.642536,3.1728594,5.6300945,6.0537257,69.96856
806,8,for,12.9526825,2.2945392,3.320871,3.669412,57.66922
806,9,two,13.064159,3.0763159,3.61646,4.4640474,65.37786
806,10,supporting,25.421198,4.740976,6.8885865,8.5662365,100.60129
806,11,performances,20.84268,4.4216495,5.816852,6.4611173,98.900154
806,12,taking,17.97671,3.7031014,5.7538347,5.559718,82.68701
806,13,place,14.943494,3.3836126,4.030847,4.302177,81.43432
806,14,at,2.6306267,1.1129993,1.1115048,0.7032628,25.609957
806,15,the,7.091307,1.9342697,3.9616416,2.1769438,44.895954
806,16,movie's,23.964718,4.90058,13.873776,8.298692,100.49961
806,17,edges.<EOS>,15.7466545,4.09751,22.28418,6.2133026,77.981255
807,0,"Slow,",14.399499,4.072044,4.1738315,6.355106,68.83862
807,1,silly,25.149073,4.6230025,7.913316,9.452864,91.5737
807,2,and,9.091331,2.5477118,3.9689538,3.2789023,54.20372
807,3,unintentionally,31.994783,5.1015134,11.609319,11.94126,99.77406
807,4,hilarious.<EOS>,17.06915,4.897943,16.267168,7.4264264,83.7781
808,0,His,2.8369403,0.99062014,0.21788105,0.98899496,20.49513
808,1,cousin,22.453861,3.8926995,4.492209,7.8884425,84.13763
808,2,is,6.809912,2.258361,2.8286016,2.5357962,45.120987
808,3,actor,20.33886,4.22995,6.174207,7.5291376,83.564964
808,4,George,24.324236,4.8802795,11.84249,9.046174,93.385124
808,5,Clooney.<EOS>,26.345705,5.535653,22.545788,11.379179,92.83652
809,0,He,2.1971486,0.85028213,0.48355514,0.7658974,17.57721
809,1,later,18.565094,3.8563561,4.848023,6.6547923,79.9383
809,2,became,16.993073,3.6447637,4.931441,5.311696,86.01348
809,3,president,17.143959,3.560615,4.5612235,5.03013,89.441124
809,4,of,2.6047163,0.781888,0.24560602,0.6104572,23.156572
809,5,the,3.099131,1.0224261,0.5997401,0.8234612,27.164513
809,6,United,14.333765,3.0813763,4.281688,4.8940973,67.940926
809,7,Secularists,35.33756,5.297702,10.653716,13.799193,100.77323
809,8,of,2.745766,1.1245707,2.6783555,0.5423022,25.942747
809,9,America.<EOS>,14.546067,3.6983552,19.030851,5.477198,73.35235
810,0,"Baldwin,",19.362656,3.5107431,3.57899,6.846558,76.603355
810,1,a,3.8609097,1.2466034,1.1054717,0.99807215,29.439123
810,2,liberal,22.758825,4.751909,8.742688,7.702698,99.75901
810,3,"Democrat,",18.63904,4.275242,7.78757,6.1702523,92.3278
810,4,has,8.418062,2.1448903,2.4578197,2.4763064,49.600666
810,5,always,13.29168,3.5849648,3.9577053,4.111065,83.51728
810,6,had,12.359495,3.1774473,4.0499516,3.6791427,77.152794
810,7,an,4.6131873,1.28878,1.0876099,1.2075628,31.94292
810,8,active,14.810866,3.6966147,4.5718026,4.7085886,80.899734
810,9,interest,14.893081,3.5741432,4.478,4.4279966,84.88605
810,10,in,1.5601051,0.58029467,0.0,0.22498645,15.47736
810,11,politics,14.744494,3.7574143,4.357993,4.19684,90.31597
810,12,and,5.165359,1.4848818,1.547067,1.3331394,38.40094
810,13,is,6.3526745,1.768077,1.7988394,1.8975363,41.770664
810,14,frequently,15.634484,3.716072,4.8050866,4.803083,86.62505
810,15,rumored,17.889736,4.374708,5.9720635,5.8981695,93.0404
810,16,to,2.918263,0.8548704,0.31767708,0.75348324,22.66838
810,17,be,5.7037573,1.7145865,1.4324149,1.75719,39.41592
810,18,a,2.7134037,0.8833159,0.50128156,0.6275097,23.942436
810,19,candidate,15.904899,4.1008725,6.5514417,5.3381934,85.80916
810,20,for,4.68272,1.204836,1.5628624,1.4948341,29.324148
810,21,public,16.17531,4.18518,9.328582,5.8858852,84.169044
810,22,office.<EOS>,13.159209,3.4974284,15.55519,4.925145,69.41957
811,0,A,0.56331754,0.26445824,0.0,0.27006012,5.342895
811,1,portrait,28.79602,4.804823,9.045727,11.1719265,93.5987
811,2,of,3.5527387,1.015651,1.5107313,1.2997594,23.898764
811,3,an,13.512662,4.5322447,10.403226,6.098138,79.46522
811,4,artist.<EOS>,12.90508,4.1104093,13.866565,6.089255,66.75938
812,0,He,0.7113761,0.31567475,0.0,0.23185062,6.740216
812,1,received,17.747911,3.4687982,5.223513,6.0377374,79.3435
812,2,his,4.0153704,1.4412149,1.2991436,1.0805911,33.93834
812,3,bachelor's,21.044626,4.264408,5.09214,6.905439,95.64388
812,4,degree,13.291304,3.601932,3.4965575,4.042875,84.5494
812,5,in,3.534998,1.2152705,1.1508169,1.0218936,26.281828
812,6,1965,24.58851,5.1020246,6.93455,9.837083,95.54298
812,7,and,6.187319,1.7195888,1.8687532,2.0598233,37.275024
812,8,master's,19.61943,4.304543,5.645645,6.572667,93.67286
812,9,degree,13.113434,3.4978628,3.4536636,3.9650133,80.47911
812,10,in,2.7440858,0.81052667,0.0,0.54576224,22.129696
812,11,political,20.04231,4.431472,6.1746397,6.638414,93.11672
812,12,science,15.012695,3.1770196,4.397513,4.623704,72.92516
812,13,in,3.9095683,1.227787,1.3249496,1.1439308,28.309069
812,14,1966,24.304092,5.6135406,9.994864,11.009277,90.92935
812,15,both,10.591783,3.3780527,4.8140216,3.863006,68.48092
812,16,from,9.751593,2.2664397,5.135285,3.172112,48.99729
812,17,the,4.569582,1.3022729,0.9037777,1.1792631,32.13395
812,18,University,17.116009,3.492888,5.7713933,5.362806,80.30105
812,19,of,0.61720455,0.1431231,0.0,0.0,7.4068694
812,20,Wyoming.<EOS>,20.630287,4.9879613,26.248056,8.130797,91.63567
813,0,One,5.235427,1.6870067,1.2674639,1.7049272,36.07837
813,1,of,6.7557554,2.037985,2.0236018,2.190381,45.496994
813,2,his,9.124034,2.2687247,3.46206,3.1152298,49.200222
813,3,first,13.464349,3.2371402,4.8962064,4.465219,73.082405
813,4,known,17.232271,3.503034,4.7714105,5.299115,86.06671
813,5,ancestors,21.545929,4.2344146,6.2650447,6.8645477,94.92593
813,6,was,8.032918,2.306714,3.0835419,2.3534837,56.753242
813,7,Ralph,19.262556,4.614499,5.4813104,6.643504,95.8251
813,8,de,10.145181,1.8118511,1.8104941,3.2768533,44.594284
813,9,"Chesney,",27.359455,5.203457,10.007411,10.081572,100.34105
813,10,Sire,16.793238,4.317392,6.6060824,6.3356194,85.12864
813,11,of,8.240297,1.9884406,3.2428324,2.6423328,45.744003
813,12,Quesnay,31.629646,5.54219,12.77183,12.361489,100.19713
813,13,who,7.4474773,1.926764,2.879842,2.3518276,45.090057
813,14,fought,14.5732155,3.8031206,4.791805,4.450194,86.60225
813,15,on,5.1324763,1.6043758,1.7014409,1.3890512,38.30603
813,16,the,7.4864283,2.038497,2.456291,2.1682334,49.37722
813,17,side,12.737844,3.206282,3.9666092,3.9821131,76.43008
813,18,of,2.5125775,0.82673955,0.75467384,0.6325972,22.789265
813,19,William,15.755787,3.6895576,4.887892,4.943817,81.4688
813,20,the,8.108428,1.8139334,2.8066714,2.5091069,43.7132
813,21,Conqueror,22.768446,4.663709,9.481205,7.9198904,93.65904
813,22,in,2.8002532,0.9886483,0.82893044,0.82045895,22.205341
813,23,the,8.81586,2.4095995,3.0738392,2.8304,54.723686
813,24,Battle,15.980788,3.8461628,5.921642,5.258652,84.353615
813,25,of,4.6204643,1.3415143,1.9064816,1.2732944,34.999416
813,26,Hastings,23.93769,4.9633107,11.424135,8.30445,98.86816
813,27,in,3.1779556,1.1648946,1.9859736,1.0533658,24.685205
813,28,1066.<EOS>,25.550688,5.791726,31.052923,11.747407,90.72324
814,0,While,7.878889,2.503663,2.1370242,2.967056,49.624027
814,1,Franklin,21.564528,4.115956,5.460618,7.4777064,89.7596
814,2,was,8.336078,2.4275823,2.6779172,2.6739569,56.859344
814,3,finding,15.855673,3.9140034,4.8850513,5.167563,88.501884
814,4,himself,14.571057,3.5985324,5.009393,4.7558556,81.72702
814,5,in,3.345091,1.2426871,1.5327716,0.9058741,29.579077
814,6,"London,",18.100206,3.898387,7.0061088,6.038427,83.48031
814,7,Deborah,23.151234,4.8650956,5.889129,7.945517,100.21729
814,8,married,15.817127,3.6633766,5.620752,4.902033,82.82408
814,9,a,3.116256,1.0701407,0.6525006,0.8080549,27.90978
814,10,man,8.066244,2.3307881,2.2080739,2.8207822,54.871227
814,11,named,17.463226,4.1682954,10.777836,5.94954,87.215965
814,12,John,15.541999,4.1406116,10.106614,5.7354875,84.37655
814,13,Rodgers.<EOS>,24.595203,4.962281,24.800013,9.854515,91.648605
815,0,Since,9.19028,2.483778,2.2095497,3.2312958,51.87789
815,1,Lee,16.478165,3.943836,5.1936703,5.9388947,82.48776
815,2,is,8.575955,2.2514782,2.5410674,3.2011404,42.83992
815,3,a,7.5198073,2.1159806,2.5582926,2.505179,46.38274
815,4,"sentimentalist,",37.421196,4.9068832,12.2654295,13.571662,100.298294
815,5,the,5.8993874,1.7974669,2.0567286,1.8269849,40.83278
815,6,film,12.988473,3.4736466,4.3957844,4.0954223,78.73931
815,7,is,4.93625,1.612661,1.0642332,1.4306479,35.03389
815,8,more,17.302582,3.9786265,4.8423114,5.459736,91.69627
815,9,worshipful,27.93016,4.8472548,8.255787,9.573552,100.80009
815,10,than,9.453047,2.7166731,4.4298525,3.2241488,57.004665
815,11,your,14.708104,4.0106173,7.433661,4.8719163,84.168915
815,12,random,20.780449,4.5924287,9.539743,7.2230363,92.17754
815,13,E!<EOS>,9.1261215,3.265707,16.427416,3.7335143,59.242645
816,0,The,2.2940145,0.7914041,0.0,0.46324518,20.754063
816,1,movies,26.148945,4.1596417,5.418578,9.387661,91.38927
816,2,Jailhouse,36.79979,4.9919825,9.843817,13.520899,100.637505
816,3,Rock,20.118385,4.0223346,7.3459764,6.912747,86.137596
